da_id_21,da_pop_21,pr_id_21,pr_name_21,cd_id_21,csd_id_21,csd_name_21,sactype_21,cma_id_21,ct_id_21,ct_pop_21
10010165,500,10,Newfoundland and Labrador,1001,1001519,St. John's,1,001,0010170.02,3985
10010166,340,10,Newfoundland and Labrador,1001,1001519,St. John's,1,001,0010170.02,3985
10010167,407,10,Newfoundland and Labrador,1001,1001519,St. John's,1,001,0010170.02,3985
10010168,523,10,Newfoundland and Labrador,1001,1001519,St. John's,1,001,0010170.02,3985
10010169,285,10,Newfoundland and Labrador,1001,1001519,St. John's,1,001,0010170.02,3985
10010170,407,10,Newfoundland and Labrador,1001,1001519,St. John's,1,001,0010170.02,3985
10010171,461,10,Newfoundland and Labrador,1001,1001519,St. John's,1,001,0010170.02,3985
10010172,248,10,Newfoundland and Labrador,1001,1001519,St. John's,1,001,0010170.02,3985
10010173,808,10,Newfoundland and Labrador,1001,1001519,St. John's,1,001,0010003.02,4666
10010174,866,10,Newfoundland and Labrador,1001,1001519,St. John's,1,001,0010003.02,4666
10010175,971,10,Newfoundland and Labrador,1001,1001519,St. John's,1,001,0010003.02,4666
10010176,450,10,Newfoundland and Labrador,1001,1001519,St. John's,1,001,0010003.02,4666
10010180,518,10,Newfoundland and Labrador,1001,1001519,St. John's,1,001,0010170.01,2867
10010181,434,10,Newfoundland and Labrador,1001,1001519,St. John's,1,001,0010170.01,2867
10010182,399,10,Newfoundland and Labrador,1001,1001519,St. John's,1,001,0010170.01,2867
10010187,652,10,Newfoundland and Labrador,1001,1001519,St. John's,1,001,0010100.01,5738
10010191,675,10,Newfoundland and Labrador,1001,1001519,St. John's,1,001,0010001.00,1643
10010192,294,10,Newfoundland and Labrador,1001,1001519,St. John's,1,001,0010001.00,1643
10010193,451,10,Newfoundland and Labrador,1001,1001519,St. John's,1,001,0010001.00,1643
10010194,223,10,Newfoundland and Labrador,1001,1001519,St. John's,1,001,0010001.00,1643
10010195,621,10,Newfoundland and Labrador,1001,1001519,St. John's,1,001,0010002.00,4451
10010196,529,10,Newfoundland and Labrador,1001,1001519,St. John's,1,001,0010002.00,4451
